,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
Open,173.91,96.42,264.07,137.8,34.32,117.38,101.29,70.89,20.17,243.91,164.09,151.37,46.7,140.08,100.56,45.41,170.1,230.38,55.88,84.77,55.75,35.3,86.04,133.98,212.74,120.67,112.25,45.21,88.87,83.74
High,175.25,96.9,267.28,138.9,34.48,118.0,102.9,71.15,20.25,244.98,164.4,151.51,47.09,140.15,100.75,45.95,170.82,230.77,56.185,84.9,56.015,35.42,87.0,134.74,213.54,121.46,112.469,45.5878,89.06,83.82
Low,173.6,95.18,264.07,136.66,34.2147,116.4757,100.74,70.32,20.12,238.84,162.83,150.5,46.39,138.91,98.25,45.31,169.52,229.14,55.38,83.93,55.02,35.24,85.42,133.41,210.89,120.38,111.56,44.68,88.31,83.03
Close,174.81,95.37,266.13,138.81,34.4,117.24,101.61,71.14,20.21,239.81,163.66,151.35,46.78,139.77,98.75,45.94,170.77,230.05,55.59,84.27,55.15,35.36,86.98,133.72,212.7,120.75,112.09,45.57,88.95,83.58
Volume,23910914.0,2941656.0,3092379.0,3156477.0,10980008.0,5154136.0,12148636.0,6654903.0,41338656.0,2429699.0,3190853.0,3688378.0,23074092.0,4169887.0,15207594.0,9787531.0,2479231.0,1550074.0,14183210.0,17152583.0,7356767.0,9539774.0,6837186.0,1445854.0,1777825.0,1853601.0,3667438.0,25731873.0,5232777.0,8420512.0
Ex-Dividend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Split Ratio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Adj. Open,173.91,96.42,264.07,137.8,34.32,117.38,101.29,70.89,20.17,243.91,164.09,151.37,46.7,140.08,100.56,45.41,170.1,230.38,55.88,84.77,55.75,35.3,86.04,133.98,212.74,120.67,112.25,45.21,88.87,83.74
Adj. High,175.25,96.9,267.28,138.9,34.48,118.0,102.9,71.15,20.25,244.98,164.4,151.51,47.09,140.15,100.75,45.95,170.82,230.77,56.185,84.9,56.015,35.42,87.0,134.74,213.54,121.46,112.469,45.5878,89.06,83.82
Adj. Low,173.6,95.18,264.07,136.66,34.2147,116.4757,100.74,70.32,20.12,238.84,162.83,150.5,46.39,138.91,98.25,45.31,169.52,229.14,55.38,83.93,55.02,35.24,85.42,133.41,210.89,120.38,111.56,44.68,88.31,83.03
Adj. Close,174.81,95.37,266.13,138.81,34.4,117.24,101.61,71.14,20.21,239.81,163.66,151.35,46.78,139.77,98.75,45.94,170.77,230.05,55.59,84.27,55.15,35.36,86.98,133.72,212.7,120.75,112.09,45.57,88.95,83.58
Adj. Volume,23910914.0,2941656.0,3092379.0,3156477.0,10980008.0,5154136.0,12148636.0,6654903.0,41338656.0,2429699.0,3190853.0,3688378.0,23074092.0,4169887.0,15207594.0,9787531.0,2479231.0,1550074.0,14183210.0,17152583.0,7356767.0,9539774.0,6837186.0,1445854.0,1777825.0,1853601.0,3667438.0,25731873.0,5232777.0,8420512.0
