,Rank,Company,Symbol,Weight
0,1,Boeing Company,BA,7.773790
1,2,Goldman Sachs Group Inc.,GS,7.004971
2,3,3M Company,MMM,6.719875
3,4,UnitedHealth Group Incorporated,UNH,6.213074
4,5,Apple Inc.,AAPL,5.106287
5,6,McDonald's Corporation,MCD,4.988277
6,7,Home Depot Inc.,HD,4.780591
7,8,International Business Machines Corporation,IBM,4.421010
8,9,Johnson & Johnson,JNJ,4.082752
9,10,Caterpillar Inc.,CAT,4.054709
10,11,Travelers Companies Inc.,TRV,3.906028
11,12,United Technologies Corporation,UTX,3.527168
12,13,Chevron Corporation,CVX,3.424639
13,14,Visa Inc. Class A,V,3.274205
14,15,Walt Disney Company,DIS,2.968079
15,16,JPMorgan Chase & Co.,JPM,2.884537
16,17,American Express Company,AXP,2.785805
17,18,Wal-Mart Stores Inc.,WMT,2.598274
18,19,Procter & Gamble Company,PG,2.540729
19,20,Microsoft Corporation,MSFT,2.461569
20,21,Exxon Mobil Corporation,XOM,2.441414
21,22,DowDuPont Inc.,DWDP,2.078035
22,23,Merck & Co. Inc.,MRK,1.623812
23,24,NIKE Inc. Class B,NKE,1.610959
24,25,Intel Corporation,INTC,1.366467
25,26,Coca-Cola Company,KO,1.341930
26,27,Verizon Communications Inc.,VZ,1.331123
27,28,Pfizer Inc.,PFE,1.032883
28,29,Cisco Systems Inc.,CSCO,1.004841
29,30,General Electric Company,GE,0.590344
